    INFO: 2026-03-23 16:11:22,551:               log.py:   20: Logging to /Users/cbc/code/apps/sandbox/mdpdf.log
   DEBUG: 2026-03-23 16:11:22,551:               cli.py:  103: /Users/cbc/code/apps/sandbox/docs/ADAPTIVE-RED-TEAM.md
    INFO: 2026-03-23 16:11:22,552:         converter.py:   14: /Users/cbc/code/apps/sandbox/docs/ADAPTIVE-RED-TEAM.md
   DEBUG: 2026-03-23 16:11:22,562:      pdf_renderer.py:  470: printSegment: Adaptive Red Team Methodology for AI Agent Security Tools
   DEBUG: 2026-03-23 16:11:22,564:      pdf_renderer.py:  470: printSegment: Abstract
   DEBUG: 2026-03-23 16:11:22,717:      pdf_renderer.py:  470: printSegment: This document describes a replicable methodology for adaptive adversarial evaluation of static prompt injection
   DEBUG: 2026-03-23 16:11:22,835:      pdf_renderer.py:  470: printSegment: detectors deployed as AI agent security hooks. The methodology uses a multi-model ensemble of independently
   DEBUG: 2026-03-23 16:11:22,927:      pdf_renderer.py:  470: printSegment: briefed AI attackers, adversarial cross-examination by separate reviewer models, and structured deliberation to
   DEBUG: 2026-03-23 16:11:22,994:      pdf_renderer.py:  470: printSegment: produce validated bypass rates under the strongest threat model — an attacker with complete knowledge of the defense.
   DEBUG: 2026-03-23 16:11:23,044:      pdf_renderer.py:  470: printSegment: We applied this methodology to CloneGuard, an open-source agent security tool, producing the first published
   DEBUG: 2026-03-23 16:11:23,072:      pdf_renderer.py:  470: printSegment: adaptive red team results for this class of defense. The findings demonstrate that adaptive attackers with full defense
   DEBUG: 2026-03-23 16:11:23,087:      pdf_renderer.py:  470: printSegment: specifications achieve a 2.54% bypass rate against the combined detection pipeline, compared to a 4.35% miss rate
   DEBUG: 2026-03-23 16:11:23,093:      pdf_renderer.py:  470: printSegment: against naive (zero-knowledge) probes — a delta of 1.81 percentage points, indicating that defense knowledge provides
   DEBUG: 2026-03-23 16:11:23,094:      pdf_renderer.py:  470: printSegment: minimal advantage to the attacker at the payload level while revealing structural gaps in behavioral sequence
   DEBUG: 2026-03-23 16:11:23,095:      pdf_renderer.py:  470: printSegment: monitoring.
   DEBUG: 2026-03-23 16:11:23,095:      pdf_renderer.py:  470: printSegment: 1. Motivation
   DEBUG: 2026-03-23 16:11:23,096:      pdf_renderer.py:  470: printSegment: 1.1 The Case for Adaptive Evaluation
   DEBUG: 2026-03-23 16:11:23,104:      pdf_renderer.py:  470: printSegment: Most AI security tools report detection rates against stock benchmarks — known-bad payloads drawn from public
   DEBUG: 2026-03-23 16:11:23,107:      pdf_renderer.py:  470: printSegment: datasets. This evaluation model is fundamentally inadequate because it measures performance against the weakest
   DEBUG: 2026-03-23 16:11:23,107:      pdf_renderer.py:  470: printSegment: adversary: one with zero knowledge of the defense.
   DEBUG: 2026-03-23 16:11:23,108:      pdf_renderer.py:  470: printSegment: Graber et al. (
   DEBUG: 2026-03-23 16:11:23,108:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-03-23 16:11:23,108:      pdf_renderer.py:  470: printSegment: Attacker Moves Second,
   DEBUG: 2026-03-23 16:11:23,109:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-03-23 16:11:23,137:      pdf_renderer.py:  470: printSegment:  ICLR 2025, arXiv:2510.09023) formalized this gap. Their core argument:
   DEBUG: 2026-03-23 16:11:23,157:      pdf_renderer.py:  470: printSegment: any defense that has not been evaluated against an adversary with full knowledge of the defense specification has
   DEBUG: 2026-03-23 16:11:23,166:      pdf_renderer.py:  470: printSegment: not been evaluated at all. An attacker who knows the regex patterns, model architecture, thresholds, and behavioral
   DEBUG: 2026-03-23 16:11:23,169:      pdf_renderer.py:  470: printSegment: rules can craft evasion strategies that exploit specific blind spots. The delta between naive and adaptive bypass rates
   DEBUG: 2026-03-23 16:11:23,170:      pdf_renderer.py:  470: printSegment: is the only honest measure of a defense
   DEBUG: 2026-03-23 16:11:23,170:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-23 16:11:23,170:      pdf_renderer.py:  470: printSegment: s robustness.
   DEBUG: 2026-03-23 16:11:23,171:      pdf_renderer.py:  470: printSegment: 1.2 Gap in Current Practice
   DEBUG: 2026-03-23 16:11:23,200:      pdf_renderer.py:  470: printSegment: No open-source AI agent security tool has published adaptive adversarial results as of the date of this evaluation
   DEBUG: 2026-03-23 16:11:23,217:      pdf_renderer.py:  470: printSegment: (March 2026). Published evaluations in this space typically report detection rates against garak probes, HuggingFace
   DEBUG: 2026-03-23 16:11:23,224:      pdf_renderer.py:  470: printSegment: prompt injection datasets, or hand-crafted test suites — all representing naive adversaries. This creates an accountability
   DEBUG: 2026-03-23 16:11:23,226:      pdf_renderer.py:  470: printSegment: gap: defenders can claim high detection rates without disclosing how those rates degrade when the attacker knows
   DEBUG: 2026-03-23 16:11:23,226:      pdf_renderer.py:  470: printSegment: the rules.
   DEBUG: 2026-03-23 16:11:23,227:      pdf_renderer.py:  470: printSegment: 1.3 Naive vs. Adaptive Adversaries
   DEBUG: 2026-03-23 16:11:23,227:      pdf_renderer.py:  470: printSegment: The distinction is precise:
   DEBUG: 2026-03-23 16:11:23,227:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-23 16:11:23,228:      pdf_renderer.py:  470: printSegment: Naive adversary
   DEBUG: 2026-03-23 16:11:23,234:      pdf_renderer.py:  470: printSegment: : Uses publicly available attack techniques (DAN prompts, instruction override
   DEBUG: 2026-03-23 16:11:23,236:      pdf_renderer.py:  470: printSegment: templates, encoded payloads) with no knowledge of the specific defense. Represents opportunistic
   DEBUG: 2026-03-23 16:11:23,237:      pdf_renderer.py:  470: printSegment: attacks and automated scanning.
   DEBUG: 2026-03-23 16:11:23,237:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-23 16:11:23,238:      pdf_renderer.py:  470: printSegment: Adaptive adversary
   DEBUG: 2026-03-23 16:11:23,246:      pdf_renderer.py:  470: printSegment: : Receives the complete defense specification — every regex pattern, every model
   DEBUG: 2026-03-23 16:11:23,250:      pdf_renderer.py:  470: printSegment: threshold, every behavioral rule, every architectural constraint. Represents a motivated attacker who
   DEBUG: 2026-03-23 16:11:23,250:      pdf_renderer.py:  470: printSegment: has read the source code, which for an open-source tool is anyone.
   DEBUG: 2026-03-23 16:11:23,252:      pdf_renderer.py:  470: printSegment: For open-source security tools, the adaptive threat model is not hypothetical. The source code is public. Any attacker
   DEBUG: 2026-03-23 16:11:23,252:      pdf_renderer.py:  470: printSegment: can read it.
   DEBUG: 2026-03-23 16:11:23,253:      pdf_renderer.py:  470: printSegment: 2. Threat Model
   DEBUG: 2026-03-23 16:11:23,254:      pdf_renderer.py:  470: printSegment: 2.1 Attacker Knowledge Levels
   DEBUG: 2026-03-23 16:11:23,254:      pdf_renderer.py:  470: printSegment: | Level | Knowledge | Represents |
   DEBUG: 2026-03-23 16:11:23,255:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-23 16:11:23,255:      pdf_renderer.py:  470: printSegment: |-------|-----------|------------|
   DEBUG: 2026-03-23 16:11:23,255:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-23 16:11:23,258:      pdf_renderer.py:  470: printSegment: | Naive (Phase 1) | Zero knowledge of defense
   DEBUG: 2026-03-23 16:11:23,258:      pdf_renderer.py:  470: printSegment: internals | Opportunistic attacks, automated scanners, stock prompt injection payloads |
   DEBUG: 2026-03-23 16:11:23,259:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-23 16:11:23,261:      pdf_renderer.py:  470: printSegment: | Adaptive (Phase 2) |
   DEBUG: 2026-03-23 16:11:23,262:      pdf_renderer.py:  470: printSegment: Complete defense specification | Motivated attacker who has read the source code |
   DEBUG: 2026-03-23 16:11:23,262:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-23 16:11:23,265:      pdf_renderer.py:  470: printSegment: | Behavioral (Phase 3) | Full
   DEBUG: 2026-03-23 16:11:23,267:      pdf_renderer.py:  470: printSegment: knowledge of sequence monitoring rules and architectural constraints | Attacker targeting the behavioral detection
   DEBUG: 2026-03-23 16:11:23,267:      pdf_renderer.py:  470: printSegment: layer specifically |
   DEBUG: 2026-03-23 16:11:23,268:      pdf_renderer.py:  470: printSegment: 2.2 What 
   DEBUG: 2026-03-23 16:11:23,268:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-03-23 16:11:23,268:      pdf_renderer.py:  470: printSegment: Full Knowledge
   DEBUG: 2026-03-23 16:11:23,269:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-03-23 16:11:23,269:      pdf_renderer.py:  470: printSegment:  Means Concretely
   DEBUG: 2026-03-23 16:11:23,269:      pdf_renderer.py:  470: printSegment: The adaptive attacker receives a programmatically generated briefing document containing:
   DEBUG: 2026-03-23 16:11:23,270:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-23 16:11:23,270:      pdf_renderer.py:  470: printSegment: All 201 Tier 0 regex patterns
   DEBUG: 2026-03-23 16:11:23,273:      pdf_renderer.py:  470: printSegment:  with exact regex syntax, severity levels, false-positive hints, and scan
   DEBUG: 2026-03-23 16:11:23,274:      pdf_renderer.py:  470: printSegment: mode restrictions, extracted from the 25 YAML category files
   DEBUG: 2026-03-23 16:11:23,274:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-23 16:11:23,274:      pdf_renderer.py:  470: printSegment: Tier 1.5 semantic model architecture
   DEBUG: 2026-03-23 16:11:23,276:      pdf_renderer.py:  470: printSegment: : MiniLM-L6-v2 ONNX, 256-token window, 128-token
   DEBUG: 2026-03-23 16:11:23,277:      pdf_renderer.py:  470: printSegment: stride, suspicious threshold (0.65), malicious threshold (0.88)
   DEBUG: 2026-03-23 16:11:23,277:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-23 16:11:23,277:      pdf_renderer.py:  470: printSegment: All 6 behavioral sequence rules
   DEBUG: 2026-03-23 16:11:23,280:      pdf_renderer.py:  470: printSegment:  (SEQ-001 through SEQ-006) with trigger conditions, enforcement
   DEBUG: 2026-03-23 16:11:23,280:      pdf_renderer.py:  470: printSegment: status (enforce vs. advisory), and event window size (10 events)
   DEBUG: 2026-03-23 16:11:23,281:      pdf_renderer.py:  470: printSegment: l
